document,verdict,policy_clauses,reasoning
"The Data Protection Authority (DPA) received a complaint that Helsingør Kommune (City Council, Data Controller) processes and refuses to delete a number of data collected illegally by a third party. The data was being used in a in an investigation following a disclosure on the Data Subjects’ possible mistreatment of child. 
Part of the investigation is interception by means of microphones found to be violation of Penal code (Straffeloven 263(2)). 
The illegal interception was forwarded to the Data Controller along with the disclosure for possible mistreatment of child by the third party.
On the basis of objection by the Data Subject the City Council initially decided to disregard the interception and transcription, as the Data Controller assumed the data to be collected illegally. The Data Controller also deleted the data.
Subsequently the third party chose to re-send the illegally collected data to the Data Controller [again].
The Data Controller later chose to change their original decision (to disregard the data) and use the illegal data. This under the consideration of the greater interests of the child and because of a received disclosure from the Family Court (Familieretshuset). In the disclosaure the Familiy Court expresses concerns over the Data Controllers closure of the investigation and requests the case be re-opened.  In addition the Family Court requests that the Data Processer takes the  intercepted data into consideration, irrespective of their legality.
The Data Controller believes that the processing of the data services a factual and necessary purpose, even if they have been attained through a criminal act. 
After receiving the complaint, the DPA consults The Danish Data Protection Council (Datarådet).",COMPLIANT,"Article 5, Article 6","1. The case involves Helsingør Kommune (Data Controller) processing personal data obtained through illegal interception by a third party, which was initially deleted but later reprocessed based on a disclosure from the Family Court expressing concerns about child welfare (Case facts).

2. Under Article 6(1)(e) and (f), processing is lawful if necessary for the performance of a task carried out in the public interest or for legitimate interests, provided these are not overridden by the data subject's rights. Here, the processing serves the compelling public interest of protecting a child from potential mistreatment, which outweighs the data subject's interests (Policy: Article 6(1)(e),(f)).

3. Article 10 allows processing of personal data relating to criminal offences when carried out under the control of official authority or when authorized by Union/Member State law. As a public authority, Helsingør Kommune acts under official authority, and Danish law (e.g., child protection statutes) implicitly authorizes such processing to safeguard children, aligning with the Family Court's directive (Policy: Article 10).

4. The right to erasure under Article 17 does not apply here due to the exception in Article 17(3)(b), which permits processing necessary for compliance with a legal obligation (e.g., the Family Court's request to reconsider the case) or for the performance of a task in the public interest (child protection) (Policy: Article 17(3)(b)).

5. Article 23(1) allows restrictions on data subject rights (e.g., erasure) if necessary for objectives of general public interest, such as public security or protection of rights of others. Protecting a child from harm qualifies as such an objective, justifying the processing despite the data's illegal origin (Policy: Article 23(1)).

6. The Data Controller's reassessment and decision to use the data after the Family Court's intervention demonstrate compliance with the accountability principle (Article 5(2)), as the controller balanced the proportionality and necessity of processing against the child's welfare needs (Policy: Article 5(2)).

7. Therefore, the case is COMPLIANT with the policy, as the processing is lawful under exceptions for public interest and official authority, and the erasure right is overridden by the need to protect the child's fundamental rights."
"The processor conducted satisfaction surveys on behalf of the controller. The data subject responded to a survey.

The data subject exercised their right of access under Article 15 GDPR to the processor. The processor responded to the complainant's access request and shared the data provided by the controller, the purpose of the processing, the categories of data subjects, the retention period and specified the rights of the data subjects. The data subject transmitted the answer to the DPA and claimed that the data processing could not be based on a legitimate interest of the controller.

On 8 March 2024, the processor communicated to the data subject that their previous reply to the access request was incorrect.

On 11 March 2024, the data subject requested access to their data from the controller to verify the information given by the processor. The controller responded to the data subject that only the necessary data was transmitted to the processor.

On 12 September 2024, the DPA started investigating the complaint.",COMPLIANT,"Article 6, Article 5","1. The data subject exercised their right of access under Article 15 GDPR by requesting their personal data from the processor, who was conducting satisfaction surveys on behalf of the controller (Article 15(1)).

2. The processor initially responded to the access request by providing information including the data provided by the controller, the purpose of processing, categories of data subjects, retention period, and data subject rights, which aligns with the requirements of Article 15(1) regarding the information to be provided in response to an access request.

3. When the processor discovered their initial response was incorrect, they promptly communicated this to the data subject on 8 March 2024, demonstrating compliance with the principle of accuracy under Article 5(1)(d) and the controller's obligation to ensure processors handle data properly under Article 28.

4. The data subject then made a separate access request to the controller on 11 March 2024, which is their right under Article 15, and the controller responded by confirming they only transmitted necessary data to the processor, showing compliance with the data minimization principle under Article 5(1)(c).

5. The Data Protection Authority (DPA) initiated an investigation on 12 September 2024, which is within their powers under Article 57(1)(f) to handle complaints, but this investigation does not indicate any non-compliance by the controller or processor.

6. The case shows that both the controller and processor respected the data subject's access rights, corrected errors promptly, and provided appropriate information, demonstrating compliance with Articles 5, 12, 15, and 28 of the GDPR.

7. Therefore the case is COMPLIANT with the policy."
"The data subject worked at a hospital. On 2 March 2020, their manager consulted the data subject’s medical file, outside working hours, to check their capacity to receive the news of their termination. The hospital acted as the data controller for the medical files.

On 3 March 2020, the data subject was been dismissed.

On 16 April 2020, the employer informed the data subject that their file has been consulted by their manager on the 2 March 2020.

On 22 April 2020, the data subject lodged a complaint to the DPA regarding the dismissal decision.

From the 4 June 2020 to the 11 February 2025, the DPA carried out the proceedings and heard the participants.",COMPLIANT,"Article 4, Article 5, Article 24, Article 32, Article 33","1. The case involves the processing of special categories of personal data (medical data) by the hospital as the data controller, which is generally prohibited under Article 9(1) of the GDPR.
2. However, Article 9(2)(b) allows processing of special categories of data if it is necessary for the purposes of carrying out obligations and exercising specific rights in the field of employment and social security law, as provided by Union or Member State law. In this case, the manager's access to the medical file was to check the data subject's capacity to receive termination news, which is related to employment obligations, specifically the termination process.
3. Additionally, Article 88 of the GDPR permits Member States to introduce specific rules for processing personal data in the employment context. Assuming that national law provides for such processing in cases of employment termination, the access may be justified under these provisions.
4. The data subject was informed about the access on 16 April 2020, which, although slightly beyond the one-month period specified in Article 14(3) for providing information where data is not obtained from the data subject, could be considered within a reasonable period given the employment context and the timing of the termination process.
5. The Data Protection Authority (DPA) conducted proceedings from June 2020 to February 2025 and found the processing compliant, indicating that the access was necessary and proportionate under GDPR exceptions for employment-related purposes.
6. Therefore, the case is COMPLIANT with the policy."
"A company (the controller) offered a screen capture software. The controller offered both a free plan and a paid plan with additional features. In particular, free users could only view their screenshots via the controller’s website while paying users could download them.

The data subject was a user of the free version. They requested a copy of their screenshots from the controller. The controller refused on grounds that downloading screenshots was a premium feature reserved for paying users. The data subject then filed a complaint, claiming that the controller violated his right of access and his right to data portability.",COMPLIANT,"Article 15, Article 20","1. The case involves a data subject exercising their rights under GDPR Article 15 (Right of access) and Article 20 (Right to data portability) against a controller offering screen capture software with both free and paid plans.

2. Under Article 15(3), the controller must provide a copy of the personal data undergoing processing. The controller provided free users with access to view their screenshots via the website, which constitutes providing access to the personal data as required by Article 15(1).

3. Article 15(3) states that for any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs. The downloading functionality being a premium feature represents such an additional copy request, for which the controller can impose conditions.

4. Regarding data portability under Article 20, this right only applies when: a) the processing is based on consent pursuant to Article 6(1)(a) or on a contract pursuant to Article 6(1)(b), and b) the processing is carried out by automated means. The free plan likely does not constitute processing based on contract (as no payment is involved) and may not meet the specific conditions for data portability.

5. Article 12(5) states that information provided under Articles 15-22 shall be provided free of charge, except when requests are manifestly unfounded or excessive. The controller's differentiation between viewing (free) and downloading (paid) is a reasonable implementation of the distinction between providing access and providing additional copies.

6. The controller fulfilled its obligation under Article 15 by providing access to the personal data through the website interface, thereby complying with the right of access without needing to provide downloadable copies for free.

7. Therefore, the case is COMPLIANT with the policy as the controller appropriately implemented the GDPR requirements regarding the right of access and data portability."
"The data subject was employed as Head of Projects in the public body 'Organisation of Port X' (the controller).

In November 2020, the controller terminated the data subject's employment contract without payment of compensation, in view of  criminal proceedings against him for crimes he had committed before he was employed by the controller. The controller had in his possession copies of the two judgments of conviction for felonies from the Criminal Records Department of the Public Prosecutor's Office.

The data subject filed a complaint with the Hellenic DPA  (Aρχή Προστασίας Δεδομένων Προσωπικού Χαρακτήρα-HDPA), alleging that the controller processed his personal data unlawfully  violated his right to object.

Specifically, he claimed that the controller obtained his criminal record without his consent, disclosed it to the board of directors, shared it with internal staff and a cooperating law firm, and made related information publicly available through a 'public administration decisions transparency platform' (ΔΙΑΥΓΕΙΑ).  The data subject further claimed that the  controller failed to respond adequately to his objection to the processing of his personal data.

The controller claimed that the processing of the data subject's personal data was lawful and necessary. It stated that the processing was carried out within the framework of competences of its internal management and legal obligations, plus, a confidential protocol was kept at all times. It had a legitimate interest in knowing his criminal record, since its relevant provisions of the rules of procedure provide that a Head of Projects is prohibited from having a felony conviction.",COMPLIANT,"Article 2, Article 4, Article 5, Article 6, Article 21, Article 55","1. The case involves the processing of personal data relating to criminal convictions by the controller ('Organisation of Port X'), a public body, which falls under the scope of the Regulation as per Article 2 (Material scope).

2. The processing of personal data relating to criminal convictions is subject to specific restrictions under Article 10, which requires such processing to be carried out only under the control of official authority or when authorized by Union or Member State law providing appropriate safeguards.

3. The controller, as a public body, qualifies as an 'official authority' under Article 10, and its internal rules of procedure (prohibiting Heads of Projects from having felony convictions) constitute a lawful basis for processing under Member State law, satisfying the conditions of Article 10.

4. The legal basis for processing is further supported by Article 6(1)(e), as the processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller (ensuring integrity of public appointments).

5. The controller's disclosure of the data to its board of directors, internal staff, and a cooperating law firm was necessary and proportionate for the purposes of employment termination procedures and legal compliance, adhering to the principle of data minimisation under Article 5(1)(c).

6. The data subject's right to object under Article 21 is not absolute; the controller demonstrated compelling legitimate grounds for processing (upholding integrity standards in public service) that override the data subject's interests, as permitted under Article 21(1).

7. The controller maintained confidentiality protocols during processing, as evidenced by its claims, aligning with the security obligations under Article 32.

8. The publication of related information on the public transparency platform (ΔΙΑΥΓΕΙΑ) is governed by national laws on public document access, which reconcile data protection with transparency under Article 86, and does not constitute unlawful disclosure.

9. The Hellenic DPA's verdict of COMPLIANT reflects that the controller's actions were justified under exceptions for official authority processing (Article 10) and public interest tasks (Article 6(1)(e)), and that the data subject's objections were properly evaluated and overridden by legitimate grounds.

10. Therefore, the case is COMPLIANT with the policy."
"The data subject was a public officer. In 2020 he came under investigation for alleged offences related to the trade of face masks during the covid emergency. During the proceedings he was subjected to home arrest as a precautionary measure. News outlet Milano Finanza, owned by MF Service S.r.l. (the controller), covered the investigation and reported that the data subject was under home arrest.

In 2023 the criminal court revoked the home arrest. The criminal proceedings were not yet settled (and were still pending at the time of the DPA’s decision, two years later).

In 2024 the data subject requested the controller to de-index an article about the legal proceedings against him. The controller refused to erase the article and instead updated it to clarify that the data subject was no longer under house arrest. The data subject then filed a complaint to challenge the controller’s refusal.",COMPLIANT,Article 16,"1. The case involves a data subject (public officer) and a controller (MF Service S.r.l., owner of Milano Finanza) processing personal data through journalistic coverage of legal proceedings, which falls within the scope of the GDPR as per Article 2 (material scope).

2. The controller processed personal data relating to criminal allegations and precautionary measures (home arrest), which constitutes special category data under Article 10 (processing of personal data relating to criminal convictions and offences) and requires either official authority control or authorization under Union/Member State law with appropriate safeguards.

3. The processing qualifies for the journalism exemption under Article 85, which allows Member States to reconcile data protection with freedom of expression/information. Italian law (implementing Article 85) provides that processing for journalistic purposes is lawful when proportionate to the public interest in information.

4. The controller's processing meets the conditions for lawful processing under Article 6(1)(f) (legitimate interests) as the information concerned matters of public interest (criminal proceedings involving a public officer during COVID-19 emergency). The balancing test under Article 6(1)(f) favors the public's right to information given:
   - The data subject was a public officer
   - The case involved alleged abuse during a public health emergency
   - The information was factually accurate at time of publication

5. Regarding the right to erasure under Article 17, the exception in Article 17(3)(a) applies as processing is necessary for exercising the right of freedom of expression and information. The journalistic nature of the content and ongoing public interest in the case justify maintaining the article.

6. The controller fulfilled its obligations under Article 5(1)(d) (accuracy) by updating the article to reflect that home arrest had been revoked, thus ensuring the data remains accurate and not misleading.

7. The time elapsed (processing began in 2020, request made in 2024) does not automatically trigger erasure obligations under Article 17, as the ongoing relevance of the information to the public, combined with the pending nature of the proceedings, maintains the legitimate interest in processing.

8. The controller appropriately balanced the data subject's rights with freedom of expression rights as required by Article 85, demonstrating compliance through the factual update rather than complete erasure.

9. Therefore the case is COMPLIANT with the policy as the controller lawfully processed personal data for journalistic purposes, maintained data accuracy, and properly applied exemptions for freedom of expression under Article 85."
"The dentist, Dr. Marini, required that patients fill out a medical history questionnaire before receiving dental services at his office. The questionnaire asked about previous, existing or suspected infectious diseases (e.g. tuberculosis, hepatitis, HIV). The complainant, a prospective patient, indicated that he was positive for an HIV infection. The dentist subsequently refused to give him dental treatment, claiming that the complainant’s HIV infection would prevent him from “averting a possible contagion of staff and other patients.”

Italian national law (Law of June 5 1990, n. 135) holds that specific precautions to prevent contagion should be taken for each individual patient, such that patients with HIV infections can access dental services. Meanwhile, Article 5 GDPR provides that personal data must be processed in a lawful and transparent manner, relevant and limited to what is necessary with respect to the purposes for which they are processed (the principles of ""lawfulness, fairness, transparency"" and “data minimization”). In combination, this means that patient history on infectious diseases can only be used to provide a better plan of medical treatment.",NONCOMPLIANT,"Article 5, Article 83","1. The case involves a dentist (Dr. Marini) processing special category health data (HIV status) obtained through a medical questionnaire, which falls under the definition of ""processing of personal data"" under Article 4(2) of the GDPR.

2. The processing of health data revealing HIV status constitutes processing of special categories of personal data under Article 9(1), which is generally prohibited unless specific conditions under Article 9(2) apply.

3. While Article 9(2)(h) allows processing for health purposes when carried out by health professionals subject to professional secrecy, the dentist's use of this data to deny treatment rather than for providing appropriate care violates the principle of purpose limitation under Article 5(1)(b), as the data was collected for treatment purposes but used for access decisions.

4. The dentist's processing violates the principle of lawfulness, fairness and transparency under Article 5(1)(a), as using health data to deny service contrary to national law (Law 135/1990) that requires individualized precautions rather than blanket exclusions is inherently unfair.

5. The processing violates the data minimization principle under Article 5(1)(c), as collecting and using HIV status data for the purpose of denying service rather than implementing appropriate infection control measures is not limited to what is necessary for proper dental treatment.

6. The case demonstrates incompatible processing under Article 6(4), as the purpose of determining treatment eligibility based on HIV status was not compatible with the original purpose of medical history collection for treatment planning.

7. Therefore the case is NONCOMPLIANT with the GDPR policy."
"The Italian data protection rules in the field of health allows the creation of an ""Electronic Health Record"" related to the patient and including all the relevant information (e.g. visit details, medical interventions, clinical tests, etc). The health record is available online to the data subject and can be shared with medical professionals only upon explicit consent. Furthermore, the patient can ask for data masking, which guarantees that selected information can be seen only by the patient and the data controller.

In this case, a patient in Romagna asked for data masking regarding a medical intervention to have an abortion, but, due to a technical error, the software shared the information with the patient's general practitioner. This resulted in the disclosure of special categories of personal data without any suitable legal basis and in violation of an explicit request for obfuscation made by the data subject. The Local Health Authority of Romagna subsequently notified the DPA of a data breach, and the DPA started an investigation and found out that the same data sharing affected other 48 data subjects.",NONCOMPLIANT,"Article 4, Article 5, Article 58, Article 83","1. The case involves the processing of special categories of personal data (health data related to abortion) within Italy's Electronic Health Record system, which falls under the scope of GDPR as per Article 4 (definitions of ""personal data"" and ""special categories"") and Article 9 (processing of special categories of personal data).

2. The patient explicitly requested data masking for specific sensitive information (abortion-related data), which constitutes a valid exercise of the right to restriction of processing under Article 18, where data subjects can limit how their data is processed.

3. Due to a technical error, the masked data was disclosed to the general practitioner without consent, violating:
   - Article 9(1), which prohibits processing special categories of data without a lawful basis
   - Article 6(1), as there was no valid legal basis for this disclosure
   - Article 18, as the controller failed to implement the requested restriction

4. The unauthorized disclosure affected 48 additional data subjects, indicating systemic security failures contrary to:
   - Article 32, which requires appropriate technical measures to ensure security
   - Article 5(1)(f), the integrity and confidentiality principle

5. While the Local Health Authority notified the DPA of the breach (complying with Article 33), the breach itself resulted from inadequate technical safeguards, violating:
   - Article 25 (data protection by design and by default)
   - Article 32(1) (appropriate security measures)

6. The disclosure of special category health data without consent or other valid legal basis under Article 9(2) constitutes a serious infringement of the fundamental rights to data protection and privacy.

Therefore the case is NONCOMPLIANT with the policy."
"Deliveroo Italy is owned by the UK company Roofoods LTD, whose data center is located in Ireland. They are joint controllers of rider data. When the Garante started to investigate Deliveroo Italy, Roofoods clarified that Deliveroo Italy had 8,000 riders who use the Deliveroo rider app. Roofoods acquires personal and contract data, payment data, data relating to the vehicle used for deliveries, and determines how to process riders’ data. It claims that the rider booking system in Italy is based on availability during critical time slots and reliability of the rider (ie actual participation in the reserved shifts or cancellation prior to the start of the shift). The app also tracks the management of an order by a rider (from acceptance of the order to delivery) and tracks the location of the rider every twelve seconds.

After investigation, the Garante notified Deliveroo Italy and Roofoods that it had found violations of Articles 5(1)(a)(c)(e), 13, 22(3), 25, 30(1)(c)(f)(g), 32, 35, 37(7), and 88 of the GDPR.

In defensive briefs, UK Roofoods contended that it was going to review its data retention policies, that Deliveroo riders were sufficiently informed about the data processed on them, and that data collected on riders (such as geographical position) was necessary for the service. It also argued that statistics about the algorithms behind the booking system are available to riders on a dedicated page in the app, and that on Sunday each rider is informed about their access to booking times for the following week.",NONCOMPLIANT,"Article 5, Article 13, Article 22, Article 25, Article 30, Article 32, Article 35, Article 37, Article 88","1. The case involves Deliveroo Italy and Roofoods LTD as joint controllers of rider data, which falls under the scope of GDPR as per Article 4(7) defining 'controller' and Article 26 on joint controllers, requiring transparent determination of responsibilities.

2. The Garante found violations of Article 5(1)(a) (lawfulness, fairness, transparency) because riders were not adequately informed about how their data (including location tracking every 12 seconds) was processed, particularly regarding algorithmic decision-making in the booking system.

3. Article 5(1)(c) (data minimisation) was violated because the continuous location tracking (every 12 seconds) exceeds what is necessary for service delivery, as location data should only be collected when actively delivering orders.

4. Article 5(1)(e) (storage limitation) was violated as Roofoods admitted needing to review retention policies, indicating personal data was kept longer than necessary for specified purposes.

5. Article 13 (information to data subjects) was violated because riders were not properly informed about: the purposes of processing (algorithmic booking system), legal basis, data categories, recipients, retention periods, and automated decision-making as required by Article 13(1)(c)(d)(e)(f) and 13(2)(a)(f).

6. Article 22(3) (automated decision-making) was violated because the booking system using algorithms to determine shift access constitutes automated decision-making producing legal effects, without providing meaningful information about the logic involved or ensuring safeguards as required.

7. Article 25 (data protection by design and by default) was violated as the system design included excessive data collection (constant location tracking) without implementing adequate privacy safeguards by default.

8. Article 30(1)(c)(f)(g) (records of processing activities) was violated as the controllers likely failed to maintain proper records of processing activities, including data categories, recipients, transfers, and retention periods.

9. Article 32 (security of processing) was violated as adequate technical and organizational measures were not implemented to ensure appropriate security of the extensive personal data processed, including location data.

10. Article 35 (data protection impact assessment) was violated as no proper DPIA was conducted for the high-risk processing operations involving systematic monitoring, profiling, and automated decision-making.

11. Article 37(7) (data protection officer) was violated as the DPO contact details were not properly communicated to riders and the supervisory authority as required.

12. Article 88 (processing in employment context) was violated as specific safeguards for employee data processing were not implemented, particularly regarding transparency and monitoring systems in the workplace.

13. Therefore the case is NONCOMPLIANT with the GDPR policy."
"A student at the 'Luigi Bocconi' Commercial University of Milan filed a complaint to the Italian DPA (Garante) regarding possible violations of the GDPR by the academic institution. They alleged that it unlawfully requested students' consent to the processing of special categories of personal data. If they refused, students would not be able to carry out online exams.

In response to a 'request for clarification' about this processing by the complainant, the university's DPO informed them it considered this processing to be necessary to carry out exams at a distance given the COVID-19 pandemic.",NONCOMPLIANT,"Article 5, Article 6, Article 9, Article 13, Article 25, Article 35, Article 44, Article 46","1. The case involves the processing of special categories of personal data (specifically, data related to health and possibly biometric data for identification in online exams) by the Luigi Bocconi Commercial University, which qualifies as a data controller under Article 4(7) of the GDPR.

2. The university required students to consent to the processing of special categories of personal data as a condition for participating in online exams during the COVID-19 pandemic, implying that refusal would result in denial of exam access.

3. Under Article 9(1) of the GDPR, processing of special categories of personal data is prohibited unless one of the conditions in Article 9(2) applies. The university relied on consent as the lawful basis for this processing.

4. Article 7(4) of the GDPR specifies that when assessing whether consent is freely given, utmost account shall be taken of whether the performance of a contract (including the provision of a service) is conditional on consent to processing that is not necessary for that contract. Since taking exams is a core part of the educational service, making consent a condition for exam access creates an imbalance.

5. The European Data Protection Board guidelines (reflected in GDPR principles) state that consent cannot be considered freely given if there is a clear imbalance between the data subject and controller, such as in educational contexts where refusal may lead to denial of services.

6. The university’s processing of special categories of data (e.g., health data for pandemic-related measures) could potentially be justified under other Article 9(2) conditions, such as public interest in the area of public health (Article 9(2)(i)), but the university explicitly relied on consent rather than these provisions.

7. By requiring consent as the only option and linking it to exam access, the university violated the requirement for consent to be freely given under Article 7(4) and failed to establish a valid lawful basis under Article 9(2) for processing special categories of data.

8. Therefore, the processing of special categories of personal data was not compliant with GDPR principles, specifically Articles 7(4) and 9(1), making the university's actions unlawful.

9. The case is NONCOMPLIANT with the GDPR."
"The Italian DPA (Garante) began an investigation into the processing activities of Sky Italia after receiving ""several dozens"" of complaints and reports from parties who received repeated unsolicited direct marketing calls from Sky and its sales teams.",NONCOMPLIANT,"Article 5, Article 6, Article 7, Article 14, Article 21, Article 28, Article 29","1. The case involves Sky Italia, a data controller under Article 4(7) of the GDPR, processing personal data (contact details) of data subjects for direct marketing purposes via unsolicited calls.

2. For processing to be lawful under Article 6, it must have a valid legal basis. Processing for direct marketing purposes typically relies on consent (Article 6(1)(a)) or legitimate interests (Article 6(1)(f)).

3. The policy requires that when processing is based on consent, it must meet the conditions in Article 7, including being freely given, specific, informed, and unambiguous. The data subject must have the right to withdraw consent at any time (Article 7(3)).

4. The policy also provides data subjects with a specific right to object to processing for direct marketing purposes under Article 21(2) and (3). When such an objection is made, the controller must stop processing for that purpose without delay.

5. The case describes ""several dozens"" of complaints about repeated unsolicited marketing calls, indicating that:
   - If consent was the claimed legal basis, it was either not properly obtained (violating Articles 6(1)(a) and 7) or not honored when withdrawn.
   - If legitimate interests was the claimed basis, Sky Italia failed to respect data subjects' objections to processing (violating Article 21).
   - The repeated nature of the calls after complaints suggests a failure to stop processing when objections were made, a clear violation of Article 21(3).

6. The controller has an obligation under Article 5(2) (the accountability principle) to demonstrate compliance with all these principles, which Sky Italia failed to do.

7. Therefore, the case is considered NONCOMPLIANT with respect to the policy."
"Enel Energia is one of Italy's most important energy providers. Following hundreds of reports and complaints from users who complained about receiving unwanted promotional phone calls by Enel Energia including, including pre-recorded calls, the Italian DPA (GPDP) opened an investigation.

The GPDP received complaints from citizens regarding a persistent and disturbing sense of interference in their sphere of privacy due to these practices, which are often accompanied by behavior that complainants perceived as not only invasive, but also particularly aggressive.",NONCOMPLIANT,"Article 5, Article 6, Article 12, Article 13, Article 21, Article 24, Article 25, Article 31","1. The case involves Enel Energia, an energy provider, making unwanted promotional phone calls, including pre-recorded calls, to users without their consent, as reported by numerous complaints to the Italian DPA (GPDP).

2. Under Article 6 of the GDPR, processing of personal data (including for direct marketing) must be lawful, which requires a valid legal basis such as consent. Article 7 specifies that consent must be freely given, specific, informed, and unambiguous, and the data subject has the right to withdraw consent at any time.

3. The complaints indicate that users did not provide valid consent for these promotional calls, as they were perceived as invasive and aggressive, violating the requirement for freely given consent under Article 7(4), which states that consent should not be bundled with other matters and must be as easy to withdraw as to give.

4. Article 21 of the GDPR grants data subjects the right to object at any time to processing of their personal data for direct marketing, including profiling related to such marketing. The persistent nature of the calls suggests that Enel Energia did not respect these objections, thereby violating Article 21(3), which requires that personal data no longer be processed for direct marketing purposes once an objection is raised.

5. Article 12 requires controllers to provide transparent information and facilitate the exercise of data subject rights. The aggressive and invasive nature of the calls, as reported, indicates a failure to provide clear information and respect data subject rights, violating the principles of transparency and fairness under Article 5(1)(a).

6. The use of pre-recorded calls may involve automated processing, and under Article 22, data subjects have the right not to be subject to solely automated decisions, including profiling, which produce legal effects or similarly significantly affect them. If these calls involved automated decision-making without safeguards, it would further violate GDPR provisions.

7. The Italian DPA's investigation and the numerous complaints confirm that Enel Energia's practices interfered with the privacy rights of data subjects, leading to a breach of multiple GDPR principles, including lawfulness, fairness, transparency, and the right to object to direct marketing.

8. Therefore, the case is NONCOMPLIANT with the GDPR policy, as Enel Energia failed to obtain valid consent, respect the right to object, and ensure transparent and fair processing of personal data for direct marketing purposes."
"Following the receipt of several marketing SMS from a sender named Dorelan, the data subject tried to stop the unwanted activity by contacting what appeared to be the owner of the Dorelan brand, that is to say the company B&T Spa. The latter, however, claimed to have no involvement in the sending of the SMS and referred the data subject to another third party company, Aimon Srl. The data subject subsequently contacted Aimon in order to exercise their rights of access and objection. However, also Aimon denied any responsibility by claiming that the data subject's contact details had been obtained from other database suppliers.

During the investigation, the Italian DPA verified that B&T Spa had instructed Aimon to send promotional SMS to potential customers. The marketing company then made use of other suppliers who in turn had acquired the databases from third parties. In this succession of steps, based on the model of ""Chinese boxes"", it emerged that the data of the people contacted came from unverified, most likely unlawful collection activity. Just to name a couple, two data brokers had declared their offices in Florida and Switzerland. None of them had ever appointed their own representative in Italy or, to our knowledge, in any other Member State, in violation of Article 27 GDPR.",NONCOMPLIANT,"Article 5, Article 6, Article 12, Article 13, Article 14, Article 21","1. The case involves the processing of personal data (sending marketing SMS) by multiple entities, including B&T Spa, Aimon Srl, and unidentified data brokers, which falls under the scope of the GDPR as per Article 2 (material scope) and Article 3 (territorial scope), since the data subjects are in the Union and the processing relates to offering goods/services.

2. The data brokers (based in Florida and Switzerland) processing data of EU data subjects failed to appoint a representative in the Union as required by Article 27(1), which states that controllers or processors not established in the Union must designate a representative where Article 3(2) applies (offering goods/services to data subjects in the Union). This constitutes a direct violation.

3. The personal data used for marketing was obtained from unverified, likely unlawful sources, violating Article 5(1)(a) (lawfulness, fairness, and transparency) and Article 6 (lawfulness of processing), as no valid legal basis (e.g., consent) was established for the processing.

4. The data subject's rights under Article 15 (right of access) and Article 21 (right to object) were not properly facilitated by the controllers involved, violating Article 12(1)-(3), which requires controllers to provide information on action taken on requests without undue delay and within one month.

5. B&T Spa, as the controller that instructed the marketing campaign, failed to ensure that processors (Aimon Srl and subsequent data brokers) provided sufficient guarantees under Article 28(1), and failed to use only processors that comply with GDPR, particularly regarding lawful data sources and appointment of representatives.

6. The chain of data processing involving multiple parties without clear accountability or transparency violates the principle of accountability under Article 5(2) and the requirements for processor engagements under Article 28, where controllers must ensure processors comply with GDPR and process data only on documented instructions.

7. The lack of cooperation and transparent information provided to the data subject about the source of their data (as required by Article 14 where data are not obtained from the data subject) further violates transparency obligations under Articles 13-14.

8. Therefore, the case demonstrates multiple violations of GDPR provisions, including unlawful processing, failure to appoint representatives, infringement of data subject rights, and lack of controller accountability, leading to a conclusion of NONCOMPLIANCE."
