document,reasoning,verdict,policy_clauses
"The data subject is a computer gamer. The controller Reto Moto ApS, a Danish game developer.

During the game experience, the data subject displayed an undesirable behaviour and was accused of breaking the game's code of conduct. In other words, according to the controller, the data subject was suspected of cheating. It is not clear from the decision if the data subject was banned from the game.

On 30 May 2019, the data subject filed an access request at the controller pursuant to Article 15 GDPR. It is not clear from the decision what the data subject specifically requested. In its response, on 26 June 2019, the controller clarified that data about game replay, anti-cheat related information, server logs and in-game chat messages would not be disclosed to the data subject. On 28 June 2019, the data subject informed the controller that the reply was incomplete in his opinion. According to the data subject, anti-cheat information was usually really private information, since anti-cheat software usually contains techniques that are used to get an exceptional level of access to a computer. The data subject had no control over the software once it was installed. The data subject was also of the opinion this anti-cheat information contained personal data, and was therefore subject to the GDPR. On 26 June 2019, the controller confirmed that it had answered to the access request. The controller also confirmed that it did not provide the Game replay data, Server logs, anti-cheat information and In-game chat messages.

The controller stated that it did not provide a copy of the game replay data and the server logs because the controller had deleted these before receiving the data subject's access request.

The controller also explained that it did not provide access to the anti-cheat information, because this could harm the controller and other players. This information, it was argued, constituted a technical log with data explaining why the data subject should be excluded from the game because of supposed cheating. The controller also stated that these logs included very few personal data. According to the controller, the data subject had been provided with the reason for his exclusion and was also made aware of the time of the cheating, which was in violation with the game terms of service. The technical log also included information about the software used by the data subject to cheat. The controller meant that this did not constitute personal data and was also of the opinion that this information was strictly confidential, since disclosing this information might reveal how players could cheat in the game, which would harm the controller itself and other players of the game.

With regard to the in-game messages, the controller explained it's reasoning for not including in-game chat messages in the copy. The controller explained that it could not remove personal data of other data subjects in these chats, since these messages contained several different languages that the controller did not understand. According to the controller, these chat messages were also written in jargon, which made it even harder for the controller to understand the proper context of the messages. Due to these factors, the controller stated that it could not guarantee that a copy of in-game messages would not result in the disclosure of personal data of other players. For this reason, the controller was of the opinion that the protection of rights and freedoms of other players outweighed the interest of the data subject in receiving access to personal data.

On 17 July 2019,  the data subject filed a complaint about the controller's answer at the DPA. The DPA continued to review the case.","First, the DPA reprimanded the controller for not providing a copy of in-game chat messages sent directly to - and by the data subject in accordance with Article 15(3) GDPR. Although this is not explicitly mentioned in the decision, it is reasonable to conclude that these are private messages between the data subject and other players. There was no legal basis which the controller could have used to deny the data subject this information. The DPA also emphasised that the data subject would already have knowledge about the content of these messages.

Second, the DPA found that the controller was entitled to deny a copy of other in-game chat messages, pursuant to Article 15(4) GDPR. Despite the fact that this was also not specified in the decision itself, it is reasonable to assume that the controller was allowed to deny group messages in the copy under Article 15(4) GDPR. The DPA considered the fact that chats were conducted in different languages and sometimes contained jargon. It could therefore not be ruled out that the controller would disclose information about other data subjects. In addition, other players of the game should be able to rely on a certain degree of confidentiality with regard to messages sent ""in the heat of the moment"".

Third, the DPA also determined that the controller was entitled to deny a copy of any personal information in relation to anti-cheat measures, pursuant to cf. section 22(1) of the Danish Data Protection Act (DDPA). This provision stated that Article 15 GDPR did not apply if the data subject’s interest in this information was overridden by essential considerations of private interests. The DPA emphasised that this anti-cheat information could reveal how players could cheat the game and its underlying logic, which would harm the controller and other players. The data subject’s interest in obtaining this information was overridden by the controller's interest in not disclosing information how it identified cheating.

Lastly, with regard to the server logs and replay data, the DPA did not find any reason to doubt the controller, which stated that it had deleted this information before receiving the access request from the data subject.",COMPLIANT,Article 15
"The controller is the Icelandic Office of the National Medical Examiner. The controller was established by national law and supervised health services and health workers and dealt with complaints from the public regarding health services. The data subject was the head of a medical department. At an unspecified time, ""association X"", a non-profit organisation representing the interests of patients, sent a message to the controller which criticised the management of the data subject's department and made suggestions to its improvement. Considering the suggestions, the controller started an official investigation case.

According the Icelandic administrative law, the complainant is a party to the investigation. Further, based on law no.  37/1993 on ""The Right to Information and the Duty to Provide Guidance"", the parties to a case enjoy the right to be informed about it. Therefore, after the association sent multiple inquiries, the controller shared personal information about the data subject (the head of the department) in a letter which included, among other things, information that the data subject had been placed on indefinite leave and another person had taken over his job.

Subsequently, the data subject issued a complaint the Icelandic DPA and argued that the controller had no legal basis for the processing. The data subject believed that the comments of the controller in the letter, regarding his indefinite leave, were presented as if they were specific sanctions due to what was stated in the criticism of association X. Moreover, the data subject believed that the association X was not a party in the investigation case and, thus, disclosure of such information could not have been possibly based on a law. (The data subject's arguments, as presented by the decision, do not go further in depth. However, it can be presumed that the data subject is, in effect, arguing the following: First, if the processing of the personal data can not be based on a law, Article 6(1)(c) GDPR cannot be used as a legal basis. Second, there is no apparent legitimate interest present for the processing which would overwrite the data subject's interests in the personal data not being disclosed, as would have been required for Article 6(1)(f) GDPR. Therefore, there had been no legal basis for the processing which made it unlawful.)

Conversely, the controller responded that it had been legally obliged to share the personal information in the letter in question after repeated inquiries by the association X about the status of the investigation.","The DPA rejected the complaint and held that the controller had processed the personal data in line with its legal duties and thereby had observed all principles of the GDPR.

First, it noted that all processing had to be based on Article 6(1) GDPR. In the case at hand, processing would, mostly likely, be based on Article 6(1)(c) GDPR, which stipulates that personal data may be processed if it is necessary to fulfil a legal obligation that rests on the controller. According to national law, the main role of the controller was, among other things, to supervise health services and health workers and to deal with complaints from the public. Moreover, the controller was authorized to process personal information to fulfil statutory duties according to the law.

Second, the DPA assessed whether association X was entitled to information concerning the investigation case. The data subject argued that since association X did not act on behalf of specific patients, it could not have been involved in the investigation. On the other hand, based on the arguments of the controller, association X acted on behalf of all its members and, therefore, was an interested party to the case. The DPA pointed out that participation to an administrative case, such as the concerned investigation, depend on having a direct, unique, significant, and legally protected interest in the resolution of the case. Moreover, although non-profit organisation may act on behalf of parties in an administrative case, it is also recognized that they can be a party to proceedings for the sake of their members if a significant part of the members have a unique and significant interest in the resolution of a case and if the interest is a declared purpose of the organization. The DPA considered that the association was a party due to the latter conditions being fulfilled. Therefore, the association had a right to access documents and other data related to the investigation. The concerned letter sent by the Office to the investigation intended to summarize the existing case file. Consequently, the processing was legal pursuant to Article 6(1)(c) as it was necessary for the controller to fulfil its legal duties.

Third, the DPA had to assess whether the controller complied with the principles set out in Article 5(1) GDPR, such as lawfulness, fairness, and transparency. The personal data must have been processed in a sufficient and appropriate manner in a way which would not go beyond what was necessary based on the purpose of the processing. The DPA held that the controller had complied with these principles. As the subject matter of the investigation concerned the management of the department, of which the data subject was the head of, the controller could hardly redact all information concerning him. Moreover, the personal data included in the letter was materially limited and directly concerned the measures that had been taken in connection with the criticism of association X. Therefore, the DPA decided that the controller had complied with all principles of Article 5(1) GDPR.",COMPLIANT,"Article 5, Article 6"
"The controller was a secondary school. The data subject had been a teacher at the school.

In November 2018, the data subject requested a meeting with her fellow teachers to discuss the case of another teacher (teacher C) who, according to her, had been bullied for years. The data subject defended teacher C and, among other things, requested that a psychologist was brought in to assess the situation. According to the school administrator, the data subject had been insulting and shown a lack of respect for her colleagues in view of the sensitive topic of discussion during the meeting. Following the incident, the administrator received emails from the data subject's fellow teachers concerning the improper behaviour of the data subject.

In February 2019, the controller was informed by the Ministry of Education about a complaint by the data subject, in which she argued that she had suffered mental abuse in the  November 2018 meeting.

The same year, the school was required to rearrange its employment structure in the course of which the data subject and teacher C were dismissed.  In November 2019, the school received a letter from the Parliamentary Ombudsman, requesting the school's opinion regarding the joint complaint of the data subject and teacher C, who argued that their dismissals had been illegal.

In 2021, the data subject sent a complaint to the Icelandic DPA. She argued that after she had sent her complaint to the Ministry, the school administer started collecting her personal data through her former colleagues and shared it with the Ministry. Both happened without her consent (see Article 6(1)(a) GDPR) and without informing her of the existence of the data (see Article 14 GDPR). The illegally processed personal data would be used against her in the proceedings in front of the Ministry and the Ombudsman.

The administer of the school denied having actively collected information about the data subject from other teachers. The existing information was sent by other teachers to the administrator as a reaction to the data subject's behaviour in the 2018 meeting. All emails containing personal data, to which the data subject's complain related, were dated between January and February 1, 2019. However, the Ministry did not inform the controller about the complaint procedure until February 11, 2019. The controller also argued that the personal data was created due to the administrator's work activities and was therefore not obtained from a third party. As a result, Articles 13 and 14 GDPR would not apply and the controller would be absolved of its information obligation to the data subject.","The DPA rejected the data subject's complaint.

First, it assessed based on what legal basis the school administer had processed the personal data. It noted that Article 6(1)(c) GDPR allows the processing of personal data if it is necessary to fulfil a legal obligation. Based on a national law, it was the role of the school administrator to manage the day-to-day operation and work of the school. Moreover, the DPA considered that to receive e-mails and messages from their subordinates, including regarding their well-being at work and communication with other staff, regardless of who initiates such disclosure, falls within the work cycle of a school administrator. Therefore, the DPA held that the controller had processed the personal data on a valid legal basis.

Second, the DPA considered whether the controller upheld the Article 5(1) GDPR principles ""fairness and transparency"" and whether the data subject was adequately informed pursuant to Article 14 GDPR. The DPA argued that if processing of personal data was based on the nature of the working relationship between the supervisor and subordinates, as outlined above, the personal data would not be considered to be obtained from a third party. However, Article 14 GDPR would only apply if personal data had been collected from a third party. Consequently, the information obligations of controllers pursuant to Article 14 GDPR would not have to be upheld in order to meet Article 5(1) GDPR's requirements for fairness and transparency.

Lastly, the DPA held that the controller was also under a legal obligation to share the concerned personal data with the Minister of Education and Culture, as the school falls under the supervision of the Minister. Consequently, there was a legal obligation to hand over documents after a relevant request. Here as well, the personal data was processed lawfully pursuant to Article 6(1)(c) GDPR.",COMPLIANT,"Article 5, Article 6, Article 14"
"The controller in this case was a department of the King's office that deals with social affairs. A data subject had a dispute with a public authority, more precisely, the Government of the German-speaking Community (hereafter, the ""Government"") which had only partially responded to his request for information. The data subject wrote several complaint letters to the King. These letters contained personal data: his surname, first name and address. In an attempt to solve the matter, the King's office (controller) that had received these letters transferred them to the Government.

The data subject became aware of such disclosure and subsequently submitted an access request with the controller in accordance with Article 15 GDPR. Among the other things, he specifically inquired about the transfer of his data to the Government. The controller did not respond to his requests. The data subject also doubted the overall lawfulness of the processing. In particular, he argued that the transfer of his data was not necessary, since the controller could have simply interceded with the Government to remind it to respond to the requests for information.

He therefore filed a complaint with the Belgian DPA. During the investigation, the controller argued that the King's Office and its services benefit from the immunity from jurisdiction granted to the King under Article 88 of the Belgian Constitution.","Lawfulness

The DPA examined the existence of a legal basis on the basis of Article 6(1)(e) GDPR, which requires that the processing operation is carried out in the public interest and that it is necessary for the performance of that task.

On the subject of the public task, the DPA referred to a report which states that the King has a duty to form an opinion on the case brought to his attention. The controller was part of the King's services and was responsible for the task of dealing with requests for social assistance addressed to the King. Since the data subject sent his request to the King, he must have been aware of the King's possibility to intervene in citizens' requests, the DPA argued.

Regarding the necessity criteria, the DPA recalled that Article 6(3) requires that the purposes of the processing must be necessary for the performance of a task carried out in the public interest. Referring to the case law of the CJEU, the DPA also recalled that if there are realistic and less intrusive alternatives, the processing is not ""necessary"". In this case, the DPA considered that the personal data contained in the letter that the controller transferred were related to the explanation of the dispute and that it was not realistic or effective to pseudonymise them. In response to the data subject's view that the controller could have contacted the Government without transferring his data, the DPA considered that this was in contradiction with its aim of effective intervention. It therefore considered that the processing was necessary to resolve the conflict between the data subject and the Government.

On lawfulness, the DPA therefore concluded that there was no breach of Article 5(1)(a) and Article 6(1).

Rights of the data subject

The DPA recalled that compliance with transparency and information provisions is a precondition for the data subjects to exercise their rights. Noting that a privacy policy was available, the DPA explained that this policy only applied to the personal data of visitors of the website, not to the personal data of data subjects who have sent requests for assistance to the King. By not providing information about the processing of the data in the context of requests for help, the controller breached Articles 12 and 13.

As regards the request for access under Article 15, the DPA did not, however, consider this article as violated. It explained that the data subject's request was for the controller to acknowledge his failures to comply with the GDPR and was therefore not valid.

Immunity from jurisdiction

After noting that the controller failed to comply with Articles 12 and 13, the DPA explained that the King enjoys immunity on the basis of the Belgian Constitution. Whether this immunity extends to his collaborators, however, was controversial. ""Despite the absence of an indisputable and irrefutable normative basis to support it, and despite the fact that the right to data protection is a fundamental right"", the DPA considered that the majority doctrine was in favor of extending immunity. It therefore declared the complaint inadmissible, noting that this did not remove the illegality of the conduct, and invited the controller to comply with Articles 12 and 13.",COMPLIANT,"Article 5, Article 6, Article 12, Article 13, Article 15"
"After suffering mental abuse and threats, person A (controller) recorded telephone calls from her ex-partner (and father of her child) B and forwarded the evidence to the police, lawyers and the public prosecutor. B, the data subject, stated that these recordings were made without his knowledge and consent. He therefore lodged a complaint with the Icelandic DPA.","The DPA distinguished between two operations: the recording of phone conversations and their transmission to the police. For the recording of the phone calls, the DPA explained that the processing of data by an individual that only concerns his or her private interests or those of his or her family is not subject to the GDPR.

However, the transfer of the recordings to the police was subject to the GDPR as they were outside the private sphere. The DPA considered that it was necessary to transfer the recordings to the police for A's safety. A therefore demonstrated a legitimate interest in the processing in accordance with Article 6 GDPR which superseded B's interest in protecting his privacy.

The DPA also found that the principle of minimisation of Article 5(1)(c) GDPR was respected. As regards the right to information under Article 13 GDPR, the DPA balanced B's interest in receiving this information against the controller's (A) urgent interest in informing the police. It concluded that Controller A was not obliged to provide the information under Article 13.

In conclusion, no violation was found and the complaint was therefore rejected.",COMPLIANT,"Article 5, Article 6, Article 13"
"This case is an appeal of a decision in which the DPA fined a municipality (the controller) about €352,555 (NOK 4,000,000) for violating Article 5(1)(f) GDPR, Article 24 GDPR and Article 32 GDPR after a serious ransomware attack led to highly sensitive personal data being irreparably lost and sold on the dark web.

The controller disagreed with the DPA on the part of the decision pertaining to the fine and asked them to reconsider their position. After the DPA had reviewed the case again, they found no grounds to change their decision and so, as per Norwegian procedures, referred the case to the Privacy Appeals Board.

In their comments to the Privacy Appeals Board, the controller argued that the grounds for an administrative fine were non-existent. They also held that they had implemented sufficient technical and organisational measures available to them as per their internal resources and in line with Article 24 GDPR and Article 32 GDPR.","The Privacy Appeals Board reviewed the case, both parties' arguments, grounds for imposing an administrative fine as per the GDPR, as well as the objective and subjective grounds for assessing if personal data breaches took place.

After assessing the controller's personal data practices, the Privacy Appeals Board held that they agreed with the DPA in that the various deficiencies represented fundamental shortcomings in the controller's information security, resulting in violations of Article 24 GDPR and Article 32 GDPR.

When assessing the subjective grounds, however, the Privacy Appeals Board noted that the DPA had taken an incorrect legal standpoint and interpreted the legality inaccurately. They disagreed with the DPA's interpretation that the Chief Municipal Executive was objectively responsible for the personal data breaches, regardless of him acting negligent. In the Privacy Appeals Board's view, the insufficient IT security must be sees against a lack of focus over time, long before the Chief Municipal Executive was employed only about half a year before the personal data breaches. The Privacy Appeals Board thus assessed if one or more employees responsible for IT security in the municipality had acted negligent and found that this was indeed the case. Consequently, they held that also the subjective grounds imposing a fine were present.

Finally, the Privacy Appeals Board agreed with the DPA's assessment regarding the grounds for, and level of, an administrative fine, thus rejecting the controller's appeal and upholding the DPA's decision to impose a fine of €352,555 (NOK 4,000,000).",COMPLIANT,"Article 5, Article 24, Article 32, Article 58, Article 83"
"The controller in this case was Meta Platforms Technologies Ireland Limited (hereafter Meta).

Following a suspected data leakage concerning around 3,000,000 Belgian Facebook users, on 7 April 2021, the Belgian DPA called on Belgian citizens to check on the website https://benikerbij.be whether their data were part of the data leakage and if necessary to lodge a complaint with the DPA. Following this call, 1,113 complaints were lodged.

On 14 April 2021, the Irish DPC opened its “own volition inquiry” to determine whether Meta complied with its privacy obligations with the functionalities Facebook Search, Facebook Contact Importer, Messenger Contact and Instagram Contact. On 29 July 2021, the Irish DPC was notified of the existence of complaints regarding the events under investigation with the Belgian DPA.

In September 2022, under Article 60(3) GDPR, the DPC submitted a draft decision to various DPA’s, including the Belgian one who communicated their objections. In particular, in contrast to what the DPC had held, the Belgian DPA considered that data scraping should have been considered a data breach and that Meta had a duty to inform its users of the data leakage.

On 25 November 2022, the DPC adopted its final decision. Its investigation revealed that in the Facebook search tool, the default settings allowed all users to find each other's profiles via their phone numbers or email addresses (with a possibility to deactivate it manually). It therefore concluded that there was a strong risk that the phone numbers and email addresses would be scraped and linked to the identity of their owners. It also held that after the leakage, Meta did not implement adequate technical and organizational measures and failed to demonstrate that it had conducted a risk analysis.

Therefore, the DPC found a violation of  Article 25(1), 25(2), 5(1)(b) and 5(1)(f) GDPR, ordered Meta to comply with the provisions and imposed a Є150,000,000 and a Є115,0000 fine respectively for the violations of Articles 25(1) and 25(2).","The complaints in Belgium were related to a possible violation of Articles 32 to 34 GDPR and the DPC decision focused on Article 25. The key question, according to the DPC, was not whether there was an unauthorized disclosure of personal data or some other form of data breach, but to what extent appropriate measures had been taken to ensure that the data protection principles were observed when implementing the choices of Meta users. For this reason, the DPC's investigation focused on Article 25. The Belgian DPA considered that the focus on Article 25 did not cause any prejudice to the complainants.

In the context of the cooperation procedure of Article 60 GDPR, the DPA considered to be bound by the DPC’s decision, which was exclusively competent. Therefore, it rejected the complaints in Belgium.",COMPLIANT,"Article 25, Article 32, Article 33, Article 34, Article 60"
"The data subject made a request under Article 17 GDPR for erasure of their personal data from submitted applications for social security assistance to the Norwegian Labour and Welfare Administration at municipality X (NAV). NAV refused to delete the personal data and cited the Norwegian Archives Act which requires storing the information for archival purposes. After this refusal the data subject contacted the State Administrator, which was stated on NAV's initial decision, to be the competent appeal body. The State Administrator rejected the complaint and informed that the Norwegian DPA is the correct complaint body in the case.

The data subject contacted the DPA, but the DPA disagreed with the State Administrator, and viewed the State Administrator is the competent appeal body in the case. The DPA viewed that a dispute about what is the correct inerpretation of the Norwegian Archives Act must be reported to the State Administrator.

The data subject then again contacted the State Administrator, which maintained its original view. The State Administrator also provided guidance on his understanding of the applicable rules. The data subject the again contacted the DPA requesting clarification on who is the competent appeal body but the DPA maintained its own view.

The data subject appealed against this decision, but The DPA rejected the complaint on the grounds that it had been submitted after the appeal deadline of three weeks and did not find any special reasons that made it reasonable for the complaint to be nevertheless processed. The data subject also contacted the Civil Ombudsman which rejected the case and referred the data subject to the Norwegian Privacy Appeals Board.","The Norwegian Privacy Appeals Board held that the conditions for trying the appeal had clearly been met after the appeal deadline being missed and gave the data subject compensation for missing the appeal deadline.

The Norwegian Privacy Appeals Board emphasized, firstly, that the DPA is the competent supervisory authority when it comes to requests for deletion pursuant to Article 17(1) GDPR, and secondly, that the DPA must also decide on the scope of the exceptions that follow from Article 17(3)(b) GDPR and 17(3)(d)GDPR which goes also to requests for erasure of data in archived documents from public authorities. The Norwegian Privacy Appeals Board viewed that the DPA had not carried out a substantive assessment of the data subject's erasure request. Given the history of the case, the Norwegian Privacy Appeals Board did not deem it appropriate to send the case back to the DPA for a new assessment. Therefore, the Norwegian Privacy Appeals Board eventually decided on the data subject’s erasure request claim as the first instance.

The Norwegian Privacy Appeals Board stated, firstly, that Article 17(1) GDPR gives the data subject the right to have personal data about them deleted under certain conditions, and secondly, that the relevant option for demanding deletion in this case was Article 17(1)(c) GDPR (the data subject objects to the processing pursuant to Article 21(1) GDPR and there are no more weighty reasons for the processing). The Norwegian Privacy Appeals Board also established that Article 17(3)(b) and (d) GDPR include both an exception to the right to erasure: if the processing of personal data is necessary to fulfill a legal obligation or for archival purposes in the public interest.

The Norwegian Privacy Appeals Board eventually held that the data subject cannot demand that the information is erased from NAV's archive, if continued storage of the information is justified for archival purposes in the public interest under Article 6(1)(e) GDPR, Article 6(3) GDPR, (and the Norwegian Personal Data Act § 8). The Norwegian Privacy Appeals Board noted that under Article 5(1)(b) GDPR further processing of personal data for archival purposes in the public interest is not considered incompatible with the original purpose.

The Norwegian Privacy Appeals Board referred to the State Administrators interpretation of the applicable rules and agreed with that interpretation of the law. In the State Administrators guidance, they viewed that under Section 6 of the Norwegian Archives Act, together with the provisions in Chapter 2 of the Norwegian Archives Regulation, that NAV has indeed an obligation to archive all case documents in social security assistance cases. Consequently, the NAV's rejection of the data subjects request for erasure was deemd to be legal under Article 17(3)(d) GDPR.

The Norwegian Privacy Appeals Board decided that the data subject is not successful in their request for the erasure of data in the NAV's archive, in accordance with Article 17(3)(b) and 17(3)(d).",COMPLIANT,"Article 6, Article 17"
"The former employer of complainant received an e-mail concerning an invoice to be paid to
name of the complainant for a supplementary pension. Since the employment contract had already ended, the former employer
asked the defendant to contact the pension insurance company complementary to understand the reason for issuing the invoice. The insurance company indicates that she was not informed of the end of the contract of work between the complainant and his former employer, and that she therefore issued a new invoice. In this context, the complainant considers that his personal data should not have been sent, as the defendant is not an insurance broker or policyholder.

At first instance, the complainant made a request for mediation to the DPA. However, he was not satisfied with the outcome and thus filed a complaint afterwards.","In accordance with article 6.1.f GDPR and the case law of the CJEU, three cumulative conditions must be fulfilled in order to process personal data based on legitimate interests:
a) Purpose criterion: the pursuit of a legitimate interest;
b) Necessity criterion: demonstrating the necessity of the processing to achieve the purpose;
c) Weighing of interests: the rights and freedoms of the data subject must not override the legitimate interest pursued by the controller

Each criterion is briefly discussed below:
a) Purpose criterium: the DPA states that the personal data of the complainant were passed on to the insurance company in the context of an assignment entrusted to the defendant by the former employer of the complainant. The first condition is therefore fulfilled.

b) Necessity criterion: In order to satisfy the second condition, it must be shown that the same result cannot be achieved by other less intrusive means of processing of personal data The litigation chamber is of the opinion that with regard to the above-mentioned purpose, finding the origin of the invoice received in the name of the complainant, could not have been reached by means other than email exchanges.

c) Weighing of interests (recital 47 GDPR): It is important to take into account the expectations of the data subjects. After sending the said invoice, it appeared that the insurance company had not been informed of the termination of the complainant's employment contract. In this context, it may reasonably be expected that the defendant will provide the insurance company with the personal data that reveal the origin of the invoice. This data was also limited to elements necessary to understand the origin of the invoice.

For these reasons, the litigation chamber has decided that the cumulative conditions prescribed in Article 6.1.f GDPR have been met and deems it inappropriate to further follow up on the case.",COMPLIANT,Article 6
"The Finnish DPA received a submission from a complainant regarding a data controller's processing of personal data in connection with a lottery. As a condition for participating to the lottery requested the participants to consent to direct marketing.

According to the lottery, the complaint concerned a marketing campaign related to the company's 30th anniversary including a lottery for the customers, and the rules for the lottery said that in order to participate, a customer had to give their consent for direct marketing. Consent was given by ticking a box saying ""Yes, I want to participate to the lottery and subscribe to direct marketing or I am already a subscriber"".  After receiving the first marketing email or newsletter, a data subject could unsubscribe by following instructions on the email.","The Finnish DPA considered the following questions: 1) is consent for direct marketing freely given as required under Article 4 (11) GDPR when consent is a condition for participating in a lottery, and 2) has the data controller complied with Article 7(3) GDPR and provided a possibility to data subjects to withdraw consent.

The Finnish DPA viewed that it is undeniable that participating to the lottery is depending on consent for marketing, and that a consent is not voluntary if data subject does not have real option to not give consent without having negative consequence. The DPA noted that the European Data Protection Board has stated that adding consent to agreement terms is strongly undesirable.

The DPA stated that the wording in Article 7(4) GDPR is not absolute and that the view of the European Data Protection Board has been, there may be some rare cases where this conditionality would not invalidate the consent.

When assessing whether consent is valid, the DPA paid attention to the purpose of processing personal data which in the case was about voluntary participation in the lottery. The Data Protection Commissioner emphasizes the importance of voluntary consent, but notes that the case in question is not about a service that is necessary for the data subject. According to the DPA, not participating in the lottery does not cause negative consequences or harm to the data subject.

This said, the DPA decided that the consent requested by the controller for direct marketing in connection with participation in the lottery has been freely given in accordance with Article 4(11) GDPR, and it has fulfilled the condition for withdrawal of consent stipulated in Article 7(3) GDPR.",COMPLIANT,"Article 4, Article 7, Article 95"
"The data subject was employed by Securitas A/S as a security guard. Employment at Securitas as a security guard is subject to the approval of the Chief of Police (DK: Rigspolitichef). For employees who carry out ""on-call duties"" associated with customers with special security requirements, employment is also subject to register approval at the Police Intelligence Service (DK: Politiets Efterretningstjeneste) (“PET”).

In connection with the employment at Securitas, the data subject was contacted by the Defense Intelligence Service (DK: Forsvarets Efterretningstjeneste) (“FE”) as the data subject had been nominated for a security clearance, and therefore, was viewed to have been filled out an electronic form for the processing.

The data subject complained to the Danish DPA about Securitas disclosing their personal data to the FE, as the data subject stated that they had not consented to such disclosure. The data subject stated that Securitas had disclosed their personal data (job title, full name, and social security number).

The data subject argued that they had not completed the “information form 2” to which Securitas referred to, and therefore, no declaration of consent had been given. The data subject argued that their personal data had been disclosed to the FE without their knowledge.

Securitas argued that the disclosure of the data subject’s personal data to the FE as well as the PET was justified. Securitas stated that, at the time of the disclosure of personal data, the complainant was employed as a security guard and that all such “on-call employees” are informed of the requirement for security clearance through a communication portal.

Securitas argued that the data subject had completed the “information form 2” and so, a declaration of consent. Securitas stated that the application for security approval would have been rejected, if the data subject had not completed, signed, and consented to it.","The DPA initially notes that consent, under Article 6(1)(a) GDPR, will only rarely fulfil the requirement of having been submitted voluntarily due to the unequal relationship that typically exists between the employer and the employee. On this basis, the DPA viewed that the consent referred to by the data subject and Securitas did not constitute a valid consent under the GDPR.

However, the DPA found that Securitas was authorized to pass on the data subject’s personal data pursuant to the balancing of interests rule under Article (6)(1)(f) GDPR, according to which processing of personal data can take place if the processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data.

The DPA emphasized that obtaining the relevant security approval was necessary so that Securitas, as an employer, could ensure that the data subject as an employee could carry out the tasks that were necessary in connection with the employment.",COMPLIANT,Article 6
"The decision revolved around a motivational document of a family created by a care provider in light of child protection services. The document labels the family as potentially alarming because of mental well-being of the child and the parents. The mother, the data subject in this case, vehemently disagrees with both the content and the creation process of the document and wants it deleted in its entirety based on Article 17 GDPR. The controller denied this request of erasure.","The DPA dismissed the complaint on the basis of article 95, §1, 3° WOG (Law establishing the DPA). The DPA established that the right to erasure of Article 17 GDPR has been exercised correctly. However, this right is not aimed at being able to contest the correctness of a document containing personal findings and assessments of care providers regarding the mental well-being of both the child and the mother within their mutual relationship. The document contained the individual opinion of the care provider, which falls within their legal tasks regarding child protection services. As such, the DPA held that the document cannot be erased based on Article 17(1) GDPR.

Adding to this, the DPA held that Article 17(3) GDPR established that the right to erasure does not apply for reasons of public interest in the field of public health in according with Article 9(2)(h)GDPR. The DPA concluded that it is not up to the DPA to determine the correctness of the information in the document and thus order the fulfillment of the request of erasure.",COMPLIANT,"Article 9, Article 17"
"This decision follows an appeal against a decision of the Administrative Tribunal of Paris. A data subject was admitted urgently to hospital after a crisis. On arrival, she was treated by a psychiatrist who wrote a report. This report mentioned elements of the personal and family life of the data subject.

Some months later, she was admitted urgently to another hospital. A doctor also wrote a report in which personal details were mentioned, including data about her sexual and professional life.

The data subject considered that she had not given her consent to the collection and that the collection of her data was not necessary for the performance of the hospital's care mission and that she had not been informed of her right to rectification. rectification. She nevertheless exercised her right to rectification by letter. The data subject therefore brought an action before the Administrative Tribunal of Paris to obtain damages for moral prejudice resulting from an infringement of her privacy. The court rejected her claim and she appealed to the Administrative Court of Appeal.

The arguments of the hospitals are not explained in the decision.","The Court explained that according to national law, hospitals draw up a medical file for each hospitalised patient. This file must include among other things the information received from the patient and the reasons for hospitalisation. According to the Court, the information received in this case by the two hospitals allowed the psychological state of the data subject to be assessed and medical decisions to be taken. This data could therefore be entered in the data subject's medical file and processed in accordance with Articles 6(1)(e) and 9(2)(h) of the GDPR. The processing therefore had a legal basis and did not have to be based on consent.

The Court added that under Article 17(3)(c), the hospitals could decide not to erase the data in question in order to assess the data subject's state of health and make medical decisions.

The Court noted that the hospitals had not informed the data subject of her right to rectify her data. The hospitals were therefore responsible for a breach of Article 13(2), which requires controllers to provide information about the rights of data subjects. However, the Court noted that the data subject had exercised her right to rectification and that she had therefore not suffered any damage as a result of not being informed of the existence of this right. The Court also considered that the professionals who had access to the data subject's data were bound by professional secrecy and that in these circumstances, the data subject had not suffered an invasion of her privacy.

The Court therefore confirmed the decision of the administrative court and rejected the appeal.",COMPLIANT,"Article 6, Article 9, Article 13, Article 17"
